Country,Arrivals,Departures,No of holidays,Year,Month,Cluster
France,24058,24449,0,2024,6,2
Germany,39254,43656,0,2024,6,2
Japan,141052,144822,1,2024,8,2
Hong Kong,97783,109486,0,2024,8,2
Mainland China,363853,395409,0,2024,8,2
Vietnam,103303,95184,1,2024,8,2
Thailand,225976,229118,1,2024,8,2
Philippines,120640,116345,2,2024,8,2
Malaysia,313313,288558,1,2024,8,2
Indonesia,321967,303902,1,2024,8,2
United Kingdom,76223,70806,0,2024,7,2
Germany,47057,40835,0,2024,7,2
France,26993,24399,1,2024,7,2
Japan,138181,117217,1,2024,7,2
Hong Kong,105586,91851,1,2024,7,2
Vietnam,106354,95446,0,2024,7,2
Thailand,237235,225958,2,2024,7,2
Philippines,129017,132825,0,2024,7,2
Malaysia,314827,290725,2,2024,7,2
Indonesia,315797,335010,1,2024,7,2
United Kingdom,65066,67316,0,2024,6,2
Germany,43692,47506,0,2024,8,2
Indonesia,320258,346196,1,2023,7,2
