Month,Year,Country,Arrivals
Sep,2023,  Middle East,79612.0
Sep,2023,  Oceania,269833.0
Sep,2023,  Europe,205167.0
Sep,2023,    France,25359.0
Sep,2023,    Germany,40042.0
Sep,2023,    United Kingdom,60266.0
Sep,2023,  North America,48489.0
Sep,2023,  Other Regions,9080.0
Aug,2023,Number Of Air Passenger Arrivals,2550494.0
Aug,2023,  South East Asia,1079906.0
Aug,2023,    Indonesia,316308.0
Aug,2023,    Malaysia,278475.0
Aug,2023,    Philippines,120166.0
Aug,2023,    Thailand,206186.0
Aug,2023,    Vietnam,112809.0
Aug,2023,  North East Asia,595164.0
Aug,2023,    Mainland China,243441.0
Aug,2023,    Hong Kong,74061.0
Aug,2023,    Japan,116038.0
Aug,2023,  South Asia,257429.0
Aug,2023,  Middle East,78681.0
Aug,2023,  Oceania,269363.0
Aug,2023,  Europe,211051.0
Aug,2023,    France,26669.0
Aug,2023,    Germany,42183.0
Aug,2023,    United Kingdom,61509.0
Aug,2023,  North America,48944.0
Aug,2023,  Other Regions,9956.0
Jul,2023,Number Of Air Passenger Arrivals,2701718.0
Jul,2023,  South East Asia,1130304.0
Jul,2023,    Indonesia,320258.0
Jul,2023,    Malaysia,283944.0
Jul,2023,    Philippines,134631.0
Jul,2023,    Thailand,227415.0
Jul,2023,    Vietnam,117479.0
Jul,2023,  North East Asia,641419.0
Jul,2023,    Mainland China,263392.0
Jul,2023,    Hong Kong,78733.0
Jul,2023,    Japan,117761.0
Jul,2023,  South Asia,269634.0
Jul,2023,  Middle East,92080.0
Jul,2023,  Oceania,270523.0
Jul,2023,  Europe,231770.0
Jul,2023,    France,28309.0
Jul,2023,    Germany,47008.0
Jul,2023,    United Kingdom,71819.0
Jul,2023,  North America,55952.0
Jul,2023,  Other Regions,10036.0
Jun,2023,Number Of Air Passenger Arrivals,2580813.0
Jun,2023,  South East Asia,1121043.0
Jun,2023,    Indonesia,319342.0
Jun,2023,    Malaysia,295806.0
Jun,2023,    Philippines,134950.0
Jun,2023,    Thailand,214922.0
Jun,2023,    Vietnam,111167.0
Jun,2023,  North East Asia,569258.0
Jun,2023,    Mainland China,184935.0
Jun,2023,    Hong Kong,78942.0
Jun,2023,    Japan,119020.0
Jun,2023,  South Asia,265510.0
Jun,2023,  Middle East,76872.0
Jun,2023,  Oceania,285147.0
Jun,2023,  Europe,195524.0
Jun,2023,    France,22334.0
Jun,2023,    Germany,40113.0
Jun,2023,    United Kingdom,60390.0
Jun,2023,  North America,58384.0
Jun,2023,  Other Regions,9075.0
May,2023,Number Of Air Passenger Arrivals,2376786.0
May,2023,  South East Asia,1025991.0
May,2023,    Indonesia,295364.0
May,2023,    Malaysia,256899.0
May,2023,    Philippines,123290.0
May,2023,    Thailand,201556.0
May,2023,    Vietnam,102932.0
May,2023,  North East Asia,488945.0
May,2023,    Mainland China,132574.0
