Month,Year,Country,Departures,Arrivals
Feb,2024,  South East Asia,1043571.0,1084118.0
Feb,2024,    Indonesia,279107.0,283447.0
Feb,2024,    Malaysia,273053.0,294434.0
Feb,2024,    Philippines,116456.0,123896.0
Feb,2024,    Thailand,231796.0,238636.0
Feb,2024,    Vietnam,97902.0,93909.0
Feb,2024,  North East Asia,763042.0,712881.0
Feb,2024,    Mainland China,342416.0,324056.0
Feb,2024,    Hong Kong,97038.0,85465.0
Feb,2024,    Japan,132788.0,133502.0
Feb,2024,  South Asia,247990.0,276610.0
Feb,2024,  Middle East,73513.0,72103.0
Feb,2024,  Oceania,304601.0,263754.0
Feb,2024,  Europe,182060.0,184125.0
Feb,2024,    France,21397.0,22125.0
Feb,2024,    Germany,38036.0,38600.0
Feb,2024,    United Kingdom,55856.0,55732.0
Feb,2024,  North America,44525.0,42429.0
Feb,2024,  Other Regions,9671.0,9896.0
Jan,2024,  South East Asia,1023890.0,1131172.0
Jan,2024,    Indonesia,297301.0,307312.0
Jan,2024,    Malaysia,252721.0,282679.0
Jan,2024,    Philippines,121529.0,147579.0
Jan,2024,    Thailand,215777.0,241208.0
Jan,2024,    Vietnam,91137.0,101950.0
Jan,2024,  North East Asia,591775.0,744869.0
Jan,2024,    Mainland China,222956.0,301732.0
Jan,2024,    Hong Kong,85169.0,97242.0
Jan,2024,    Japan,123860.0,143597.0
Jan,2024,  South Asia,268447.0,315133.0
Jan,2024,  Middle East,69361.0,79984.0
Jan,2024,  Oceania,340842.0,306838.0
Jan,2024,  Europe,186372.0,201764.0
Jan,2024,    France,22116.0,25321.0
Jan,2024,    Germany,38031.0,39980.0
Jan,2024,    United Kingdom,57803.0,60395.0
Jan,2024,  North America,52692.0,47577.0
Jan,2024,  Other Regions,11780.0,11806.0
Dec,2023,  South East Asia,1163465.0,1162841.0
Dec,2023,    Indonesia,295598.0,320717.0
Dec,2023,    Malaysia,309565.0,321354.0
Dec,2023,    Philippines,147852.0,118907.0
Dec,2023,    Thailand,243950.0,234375.0
Dec,2023,    Vietnam,114660.0,112292.0
Dec,2023,  North East Asia,752706.0,747856.0
Dec,2023,    Mainland China,271750.0,265540.0
Dec,2023,    Hong Kong,112413.0,110292.0
Dec,2023,    Japan,158438.0,158070.0
Dec,2023,  South Asia,305783.0,293184.0
Dec,2023,  Middle East,84249.0,92048.0
Dec,2023,  Oceania,304852.0,347824.0
Dec,2023,  Europe,190201.0,205445.0
Dec,2023,    France,23670.0,25892.0
Dec,2023,    Germany,35955.0,38513.0
Dec,2023,    United Kingdom,59844.0,63883.0
Dec,2023,  North America,50243.0,52170.0
Dec,2023,  Other Regions,10277.0,10416.0
Nov,2023,  South East Asia,1064679.0,1038285.0
Nov,2023,    Indonesia,278285.0,286363.0
Nov,2023,    Malaysia,270932.0,269785.0
Nov,2023,    Philippines,128161.0,113793.0
Nov,2023,    Thailand,234213.0,218773.0
Nov,2023,    Vietnam,103383.0,99028.0
Nov,2023,  North East Asia,652422.0,615713.0
Nov,2023,    Mainland China,206778.0,190153.0
Nov,2023,    Hong Kong,93838.0,85882.0
Nov,2023,    Japan,150729.0,147313.0
Nov,2023,  South Asia,289537.0,253469.0
Nov,2023,  Middle East,77749.0,72845.0
Nov,2023,  Oceania,286274.0,284896.0
Nov,2023,  Europe,177025.0,184255.0
Nov,2023,    France,22408.0,24260.0
Nov,2023,    Germany,35994.0,36523.0
Nov,2023,    United Kingdom,53430.0,54274.0
Nov,2023,  North America,46950.0,48111.0
Nov,2023,  Other Regions,8372.0,8153.0
Oct,2023,  South East Asia,1004625.0,1064962.0
Oct,2023,    Indonesia,293584.0,312292.0
Oct,2023,    Malaysia,248722.0,272799.0
Oct,2023,    Philippines,100964.0,109914.0
Oct,2023,    Thailand,221225.0,222667.0
Oct,2023,    Vietnam,95429.0,99917.0
Oct,2023,  North East Asia,650873.0,605863.0
Oct,2023,    Mainland China,224456.0,205807.0
Oct,2023,    Hong Kong,91481.0,81671.0
Oct,2023,    Japan,134891.0,131578.0
Oct,2023,  South Asia,256757.0,249750.0
Oct,2023,  Middle East,70734.0,86059.0
Oct,2023,  Oceania,301941.0,259029.0
Oct,2023,  Europe,185613.0,224682.0
Oct,2023,    France,23806.0,28918.0
Oct,2023,    Germany,37103.0,42852.0
Oct,2023,    United Kingdom,51708.0,65715.0
Oct,2023,  North America,46822.0,50985.0
Oct,2023,  Other Regions,8928.0,9380.0
Sep,2023,  South East Asia,976200.0,1012695.0
Sep,2023,    Indonesia,288413.0,309171.0
Sep,2023,    Malaysia,257482.0,266606.0
Sep,2023,    Philippines,100770.0,105834.0
Sep,2023,    Thailand,198631.0,197101.0
Sep,2023,    Vietnam,93052.0,93035.0
Sep,2023,  North East Asia,545509.0,563604.0
Sep,2023,    Mainland China,190568.0,210215.0
Sep,2023,    Hong Kong,76001.0,80709.0
Sep,2023,    Japan,119603.0,108057.0
Sep,2023,  South Asia,221130.0,245735.0
Sep,2023,  Middle East,87177.0,79612.0
Sep,2023,  Oceania,281890.0,269833.0
Sep,2023,  Europe,212904.0,205167.0
Sep,2023,    France,26999.0,25359.0
Sep,2023,    Germany,41477.0,40042.0
Sep,2023,    United Kingdom,63181.0,60266.0
Sep,2023,  North America,53960.0,48489.0
Sep,2023,  Other Regions,9438.0,9080.0
Aug,2023,  South East Asia,1011911.0,1079906.0
Aug,2023,    Indonesia,296230.0,316308.0
Aug,2023,    Malaysia,251852.0,278475.0
Aug,2023,    Philippines,115602.0,120166.0
Aug,2023,    Thailand,207933.0,206186.0
Aug,2023,    Vietnam,98781.0,112809.0
Aug,2023,  North East Asia,640856.0,595164.0
Aug,2023,    Mainland China,266785.0,243441.0
Aug,2023,    Hong Kong,81706.0,74061.0
Aug,2023,    Japan,116749.0,116038.0
Aug,2023,  South Asia,227872.0,257429.0
Aug,2023,  Middle East,88475.0,78681.0
Aug,2023,  Oceania,282178.0,269363.0
Aug,2023,  Europe,221335.0,211051.0
Aug,2023,    France,27662.0,26669.0
Aug,2023,    Germany,45140.0,42183.0
Aug,2023,    United Kingdom,64656.0,61509.0
Aug,2023,  North America,60520.0,48944.0
Aug,2023,  Other Regions,10042.0,9956.0
Jul,2023,  South East Asia,1085088.0,1130304.0
Jul,2023,    Indonesia,346196.0,320258.0
Jul,2023,    Malaysia,261080.0,283944.0
Jul,2023,    Philippines,129698.0,134631.0
Jul,2023,    Thailand,204317.0,227415.0
Jul,2023,    Vietnam,103139.0,117479.0
Jul,2023,  North East Asia,537291.0,641419.0
Jul,2023,    Mainland China,211875.0,263392.0
Jul,2023,    Hong Kong,70789.0,78733.0
Jul,2023,    Japan,99008.0,117761.0
Jul,2023,  South Asia,230014.0,269634.0
Jul,2023,  Middle East,76172.0,92080.0
Jul,2023,  Oceania,307860.0,270523.0
Jul,2023,  Europe,211877.0,231770.0
Jul,2023,    France,25798.0,28309.0
Jul,2023,    Germany,41749.0,47008.0
Jul,2023,    United Kingdom,66770.0,71819.0
Jul,2023,  North America,60062.0,55952.0
Jul,2023,  Other Regions,10158.0,10036.0
Jun,2023,  South East Asia,1072446.0,1121043.0
Jun,2023,    Indonesia,297064.0,319342.0
Jun,2023,    Malaysia,284935.0,295806.0
Jun,2023,    Philippines,130594.0,134950.0
