Month,Year,Country,Departures,Arrivals
Sep,2001,Indonesia,128237.0,131829.0
Sep,2001,Oceania,157079.0,149996.0
Aug,2001,North East Asia,312733.0,284904.0
Jul,2001,France,13928.0,16251.0
Aug,2001,Hong Kong,89299.0,78212.0
Sep,2001,South East Asia,404308.0,420566.0
Jul,2001,Europe,139977.0,156602.0
Jul,2001,Oceania,175675.0,146288.0
Jul,2001,Middle East,13952.0,19504.0
Jul,2001,South Asia,73935.0,78385.0
Jul,2001,Japan,83608.0,93070.0
Jul,2001,Hong Kong,77060.0,82709.0
Jul,2001,Mainland China,39914.0,46398.0
Jul,2001,North East Asia,261759.0,289614.0
Jul,2001,Vietnam,16571.0,16924.0
Jul,2001,Thailand,108280.0,125253.0
Aug,2001,Mainland China,53547.0,46693.0
Jul,2001,Philippines,29156.0,28116.0
Jul,2001,Indonesia,151178.0,134499.0
Jul,2001,South East Asia,458123.0,463620.0
Aug,2001,North America,32008.0,23870.0
Aug,2001,United Kingdom,53787.0,57713.0
Aug,2001,Germany,33099.0,32484.0
Aug,2001,France,16322.0,13353.0
Aug,2001,Europe,148279.0,146730.0
Aug,2001,Oceania,143229.0,150608.0
Aug,2001,Middle East,20593.0,15572.0
Aug,2001,South Asia,70356.0,74690.0
Aug,2001,Japan,103453.0,100180.0
Jul,2001,Malaysia,134083.0,139246.0
Oct,2001,North America,14727.0,16427.0
Nov,2001,Hong Kong,73769.0,65346.0
Oct,2001,Germany,26584.0,32111.0
Nov,2001,Philippines,27533.0,24225.0
Nov,2001,Malaysia,106333.0,110446.0
Nov,2001,Indonesia,118400.0,103426.0
Nov,2001,South East Asia,395814.0,384967.0
Dec,2001,North America,23060.0,28654.0
Dec,2001,United Kingdom,44801.0,62108.0
Dec,2001,Germany,24005.0,27670.0
Dec,2001,France,11912.0,12928.0
Dec,2001,Europe,112752.0,138305.0
Dec,2001,Oceania,175657.0,181821.0
Dec,2001,Middle East,11491.0,15348.0
Dec,2001,South Asia,82469.0,75576.0
Dec,2001,Japan,60580.0,73343.0
Dec,2001,Hong Kong,91726.0,93734.0
Dec,2001,Mainland China,62533.0,64579.0
Dec,2001,North East Asia,277388.0,293539.0
Dec,2001,Vietnam,16594.0,12987.0
Dec,2001,Thailand,138991.0,149701.0
Dec,2001,Philippines,37387.0,25203.0
Dec,2001,Malaysia,122046.0,125996.0
Dec,2001,Indonesia,138242.0,138826.0
Dec,2001,South East Asia,474525.0,474188.0
Jul,2001,Germany,29051.0,33728.0
Nov,2001,Thailand,111698.0,116974.0
Nov,2001,Vietnam,14013.0,12816.0
Nov,2001,North East Asia,236875.0,218423.0
Nov,2001,Mainland China,58964.0,51321.0
Oct,2001,France,11168.0,14267.0
Oct,2001,Europe,112913.0,146638.0
Oct,2001,Oceania,177535.0,131838.0
Oct,2001,Middle East,10517.0,11187.0
Oct,2001,South Asia,63015.0,59408.0
