Month,Year,Country,Departures,Arrivals,Total_Flow
Nov,1962,Number Of Air Passenger Departures,15993.0,0.0,15993.0
Oct,1962,    Hong Kong,1593.0,1796.0,3389.0
Oct,1962,    Indonesia,1758.0,1870.0,3628.0
Oct,1962,    Japan,242.0,198.0,440.0
Oct,1962,    Philippines,320.0,382.0,702.0
Oct,1962,    Thailand,1859.0,1932.0,3791.0
Oct,1962,    United Kingdom,511.0,626.0,1137.0
Oct,1962,Number Of Air Passenger Arrivals,0.0,14856.0,14856.0
Oct,1962,Number Of Air Passenger Departures,14717.0,0.0,14717.0
Sep,1962,    Hong Kong,1533.0,1140.0,2673.0
Sep,1962,    Indonesia,1901.0,2650.0,4551.0
Sep,1962,    Japan,181.0,170.0,351.0
Sep,1962,    Philippines,184.0,232.0,416.0
Sep,1962,    Thailand,1653.0,1227.0,2880.0
Sep,1962,    United Kingdom,1681.0,646.0,2327.0
Sep,1962,Number Of Air Passenger Arrivals,0.0,14135.0,14135.0
Sep,1962,Number Of Air Passenger Departures,15255.0,0.0,15255.0
Apr,1963,    Hong Kong,2028.0,2017.0,4045.0
Apr,1963,    Indonesia,1729.0,2072.0,3801.0
Apr,1963,    Japan,164.0,145.0,309.0
Apr,1963,    Philippines,337.0,499.0,836.0
Apr,1963,    Thailand,2595.0,1993.0,4588.0
Apr,1963,    United Kingdom,768.0,486.0,1254.0
Apr,1963,Number Of Air Passenger Arrivals,0.0,17141.0,17141.0
Apr,1963,Number Of Air Passenger Departures,17060.0,0.0,17060.0
Aug,1963,    Hong Kong,1675.0,1750.0,3425.0
Aug,1963,    Indonesia,2104.0,2156.0,4260.0
Aug,1963,    Japan,173.0,200.0,373.0
Aug,1963,    Philippines,383.0,252.0,635.0
Aug,1963,    Thailand,1920.0,2696.0,4616.0
Aug,1963,    United Kingdom,663.0,837.0,1500.0
Aug,1963,Number Of Air Passenger Arrivals,0.0,18278.0,18278.0
Aug,1963,Number Of Air Passenger Departures,17600.0,0.0,17600.0
Dec,1963,    Hong Kong,1529.0,1552.0,3081.0
Dec,1963,    Indonesia,10.0,19.0,29.0
Dec,1963,    Japan,103.0,103.0,206.0
Dec,1963,    Philippines,276.0,303.0,579.0
Dec,1963,    Thailand,1575.0,1860.0,3435.0
Dec,1963,    United Kingdom,647.0,877.0,1524.0
Dec,1963,Number Of Air Passenger Arrivals,0.0,16308.0,16308.0
Dec,1963,Number Of Air Passenger Departures,15122.0,0.0,15122.0
Feb,1963,    Hong Kong,1386.0,1203.0,2589.0
Feb,1963,    Indonesia,1562.0,1447.0,3009.0
Feb,1963,    Japan,104.0,180.0,284.0
Feb,1963,    Philippines,189.0,325.0,514.0
Feb,1963,    Thailand,1464.0,1490.0,2954.0
Feb,1963,    United Kingdom,307.0,581.0,888.0
Feb,1963,Number Of Air Passenger Arrivals,0.0,13284.0,13284.0
Feb,1963,Number Of Air Passenger Departures,13699.0,0.0,13699.0
Jan,1963,    Hong Kong,1052.0,1241.0,2293.0
Jan,1963,    Indonesia,1587.0,1623.0,3210.0
Jan,1963,    Japan,111.0,105.0,216.0
Jan,1963,    Philippines,220.0,239.0,459.0
Jan,1963,    Thailand,1322.0,1236.0,2558.0
Jan,1963,    United Kingdom,578.0,864.0,1442.0
Jan,1963,Number Of Air Passenger Arrivals,0.0,14446.0,14446.0
Jan,1963,Number Of Air Passenger Departures,14363.0,0.0,14363.0
Jul,1963,    Hong Kong,1274.0,1815.0,3089.0
