Month,Year,Country,Departures,Arrivals,Total Holidays,Inflation,Month_sin,Month_cos,Total_Traffic
4,2000,Germany,25994.0,24330.0,0.00020431219899957198,-0.4072172264677109,0.8660254037844387,-0.4999999999999998,50324.0
4,2000,Malaysia,130001.0,137920.0,0.00020431219899957198,-0.34267424466079527,0.8660254037844387,-0.4999999999999998,267921.0
4,2000,Indonesia,122270.0,117352.0,0.00020431219899957198,0.33502706431181845,0.8660254037844387,-0.4999999999999998,239622.0
4,2000,South East Asia,428371.0,442421.0,0.00020431219899957198,0.33502706431181845,0.8660254037844387,-0.4999999999999998,870792.0
4,2000,Philippines,35706.0,36480.0,0.00020431219899957198,1.2386288096086366,0.8660254037844387,-0.4999999999999998,72186.0
5,2000,Vietnam,13379.0,12963.0,1.015023004629879,-1.4399049353783602,0.49999999999999994,-0.8660254037844387,26342.0
5,2000,Thailand,103173.0,116064.0,1.015023004629879,-0.3104027537573375,0.49999999999999994,-0.8660254037844387,219237.0
5,2000,Philippines,36223.0,36619.0,1.015023004629879,1.2386288096086366,0.49999999999999994,-0.8660254037844387,72842.0
5,2000,Malaysia,131046.0,141765.0,1.015023004629879,-0.34267424466079527,0.49999999999999994,-0.8660254037844387,272811.0
5,2000,Indonesia,114887.0,113530.0,1.015023004629879,0.33502706431181845,0.49999999999999994,-0.8660254037844387,228417.0
5,2000,South East Asia,415129.0,437495.0,1.015023004629879,0.33502706431181845,0.49999999999999994,-0.8660254037844387,852624.0
5,2000,North East Asia,276764.0,247600.0,1.015023004629879,0.33502706431181845,0.49999999999999994,-0.8660254037844387,524364.0
5,2000,Mainland China,51967.0,47049.0,1.015023004629879,0.33502706431181845,0.49999999999999994,-0.8660254037844387,99016.0
5,2000,Japan,77946.0,68447.0,1.015023004629879,-1.0849185354403246,0.49999999999999994,-0.8660254037844387,146393.0
5,2000,Hong Kong,78458.0,73059.0,1.015023004629879,-1.0849185354403246,0.49999999999999994,-0.8660254037844387,151517.0
5,2000,North America,33509.0,27886.0,1.015023004629879,-1.0849185354403246,0.49999999999999994,-0.8660254037844387,61395.0
5,2000,United Kingdom,53430.0,39014.0,1.015023004629879,-0.6008461718884577,0.49999999999999994,-0.8660254037844387,92444.0
5,2000,Germany,26866.0,20625.0,1.015023004629879,-0.4072172264677109,0.49999999999999994,-0.8660254037844387,47491.0
5,2000,France,13964.0,11045.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,-0.8660254037844387,25009.0
5,2000,Europe,139783.0,103662.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,-0.8660254037844387,243445.0
5,2000,Oceania,114087.0,133268.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,-0.8660254037844387,247355.0
5,2000,Middle East,11345.0,10466.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,-0.8660254037844387,21811.0
5,2000,South Asia,75213.0,84622.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,-0.8660254037844387,159835.0
6,2000,South East Asia,444776.0,458701.0,-1.0146143802318799,-0.2781312628538797,1.2246467991473532e-16,-1.0,903477.0
6,2000,North America,33240.0,33101.0,-1.0146143802318799,-0.2781312628538797,1.2246467991473532e-16,-1.0,66341.0
6,2000,United Kingdom,49261.0,50762.0,-1.0146143802318799,-0.6008461718884577,1.2246467991473532e-16,-1.0,100023.0
6,2000,Germany,24309.0,23108.0,-1.0146143802318799,-0.4072172264677109,1.2246467991473532e-16,-1.0,47417.0
6,2000,Europe,132654.0,126471.0,-1.0146143802318799,-0.4072172264677109,1.2246467991473532e-16,-1.0,259125.0
6,2000,Oceania,126626.0,143898.0,-1.0146143802318799,-0.4072172264677109,1.2246467991473532e-16,-1.0,270524.0
6,2000,Middle East,14692.0,21284.0,-1.0146143802318799,-0.4072172264677109,1.2246467991473532e-16,-1.0,35976.0
6,2000,South Asia,79979.0,78314.0,-1.0146143802318799,-0.4072172264677109,1.2246467991473532e-16,-1.0,158293.0
6,2000,Japan,82434.0,84437.0,-1.0146143802318799,-1.0849185354403246,1.2246467991473532e-16,-1.0,166871.0
6,2000,Hong Kong,79298.0,88672.0,-1.0146143802318799,-1.0849185354403246,1.2246467991473532e-16,-1.0,167970.0
6,2000,Mainland China,44901.0,56856.0,-1.0146143802318799,-1.0849185354403246,1.2246467991473532e-16,-1.0,101757.0
6,2000,North East Asia,273292.0,299526.0,-1.0146143802318799,-1.0849185354403246,1.2246467991473532e-16,-1.0,572818.0
6,2000,Vietnam,16000.0,13775.0,-1.0146143802318799,-1.4399049353783602,1.2246467991473532e-16,-1.0,29775.0
6,2000,Thailand,109114.0,119888.0,-1.0146143802318799,-0.3104027537573375,1.2246467991473532e-16,-1.0,229002.0
6,2000,Philippines,31490.0,30892.0,-1.0146143802318799,1.2386288096086366,1.2246467991473532e-16,-1.0,62382.0
6,2000,Malaysia,144190.0,145721.0,-1.0146143802318799,-0.34267424466079527,1.2246467991473532e-16,-1.0,289911.0
6,2000,Indonesia,127515.0,130476.0,-1.0146143802318799,0.33502706431181845,1.2246467991473532e-16,-1.0,257991.0
6,2000,France,13383.0,12126.0,-1.0146143802318799,-0.2781312628538797,1.2246467991473532e-16,-1.0,25509.0
7,2000,France,11873.0,13596.0,-1.0146143802318799,-0.2781312628538797,-0.4999999999999997,-0.8660254037844388,25469.0
7,2000,Europe,139439.0,157857.0,-1.0146143802318799,-0.2781312628538797,-0.4999999999999997,-0.8660254037844388,297296.0
7,2000,Oceania,164431.0,132148.0,-1.0146143802318799,-0.2781312628538797,-0.4999999999999997,-0.8660254037844388,296579.0
7,2000,Middle East,12406.0,19642.0,-1.0146143802318799,-0.2781312628538797,-0.4999999999999997,-0.8660254037844388,32048.0
7,2000,South Asia,76434.0,80554.0,-1.0146143802318799,-0.2781312628538797,-0.4999999999999997,-0.8660254037844388,156988.0
7,2000,Japan,91056.0,99791.0,-1.0146143802318799,-1.0849185354403246,-0.4999999999999997,-0.8660254037844388,190847.0
7,2000,Hong Kong,79366.0,87920.0,-1.0146143802318799,-1.0849185354403246,-0.4999999999999997,-0.8660254037844388,167286.0
7,2000,Mainland China,33053.0,41720.0,-1.0146143802318799,-1.0849185354403246,-0.4999999999999997,-0.8660254037844388,74773.0
7,2000,North East Asia,273824.0,303750.0,-1.0146143802318799,-1.0849185354403246,-0.4999999999999997,-0.8660254037844388,577574.0
7,2000,Vietnam,15005.0,16357.0,-1.0146143802318799,-1.4399049353783602,-0.4999999999999997,-0.8660254037844388,31362.0
7,2000,Thailand,95897.0,112293.0,-1.0146143802318799,-0.3104027537573375,-0.4999999999999997,-0.8660254037844388,208190.0
7,2000,Philippines,29850.0,29272.0,-1.0146143802318799,1.2386288096086366,-0.4999999999999997,-0.8660254037844388,59122.0
7,2000,Malaysia,133453.0,138135.0,-1.0146143802318799,-0.34267424466079527,-0.4999999999999997,-0.8660254037844388,271588.0
7,2000,Indonesia,148364.0,130962.0,-1.0146143802318799,0.33502706431181845,-0.4999999999999997,-0.8660254037844388,279326.0
7,2000,South East Asia,439180.0,443508.0,-1.0146143802318799,0.33502706431181845,-0.4999999999999997,-0.8660254037844388,882688.0
7,2000,Germany,25670.0,29708.0,-1.0146143802318799,-0.4072172264677109,-0.4999999999999997,-0.8660254037844388,55378.0
7,2000,United Kingdom,57069.0,67690.0,-1.0146143802318799,-0.6008461718884577,-0.4999999999999997,-0.8660254037844388,124759.0
7,2000,North America,32339.0,29234.0,-1.0146143802318799,-0.6008461718884577,-0.4999999999999997,-0.8660254037844388,61573.0
